cliente_id,nombre,correo,ciudad,continente,telefono
101,Raul Carriso,cliente101@correo.com,Madrid,Europa,349100875429
102,Raul Carriso,cliente101@correo.com,Berlin,Europa,349100875429
103,Raul Carriso,cliente101@correo.com,Paris,Europa,349100875429
104,Raul Carriso,cliente101@correo.com,Barcelona,Europa,349100875429
105,Raul Carriso,cliente101@correo.com,Londres,Europa,349100875429
106,Raul Carriso,cliente101@correo.com,Amsterdam,Europa,349100875429
107,Raul Carriso,cliente101@correo.com,Madrid,Europa,349100875429
108,Raul Carriso,cliente101@correo.com,Valencia,Europa,349100875429
108,Raul Carriso,cliente101@correo.com,Valencia,Europa,349100875429
109,Raul Carriso,cliente101@correo.com,Osasuna,Europa,349100875429
